sku,nombre,marca,auto_compatible,tipo,precio_costo,precio_venta,stock,stock_minimo,foto,publicado,texto_auto
CH-001,Capot Gol Trend Original,VW,Gol Trend 2012-2016,Chapa,85000,120000,4,2,,si,Capot original Gol Trend. Stock inmediato. Consultanos instalacion y pintura.
CH-002,Guardabarro delantero Onix izq,Chevrolet,Onix 2017-2023,Chapa,42000,65000,6,2,,si,Guardabarro Onix listo para pintar.
CH-003,Paragolpe delantero Etios,Toyota,Etios 2013-2021,Chapa,55000,82000,3,1,,si,Paragolpe Etios con colocacion en taller.
PI-001,Pintura bicapa blanco + barniz,Glasurit,Universal,Pintura,30000,45000,10,3,,si,Color + barniz. Precio por litro.
PI-002,Masilla plástica 1kg,Zeocar,Universal,Pintura,8000,12000,15,5,,si,Masilla plástica premium.
ME-001,Pastillas de freno delanteras,Bosch,Gol/Voyage/Fox,Mecanica,18000,28000,8,3,,si,Pastillas Bosch originales.
ME-002,Amortiguador delantero Corsa izq,Sachs,Corsa Classic,Mecanica,35000,52000,5,2,,si,Amortiguador con colocacion.
ME-003,Kit distribución Gol 1.6,INA,Gol 1.6 8v,Mecanica,60000,89000,4,1,,si,Kit distribucion completo con bomba.
ME-004,Filtro aceite + aire Etios,Fram,Etios 1.5,Mecanica,9000,14000,20,5,,si,Kit service Etios.
EL-001,Batería 12x65 Moura,Moura,Universal,Electrico,95000,130000,6,2,,si,Bateria con colocacion y control de carga gratis.
EL-002,Lámpara H7 par,Osram,Universal,Electrico,7000,11000,25,8,,si,Lamparas H7 par.
AC-001,Cubre auto impermeable L,Cover,Universal,Accesorios,15000,24000,7,2,,si,Cubre impermeable con felpa.
AC-002,Perfume + shampoo auto,Toxic,Universal,Accesorios,5000,9000,30,10,,si,Combo lavado.
CH-004,Puerta trasera Palio der,Fiat,Palio 2012-2017,Chapa,70000,105000,2,1,,si,Puerta usada seleccionada + repintado opcional.
ME-005,Bujías NGK x4,NGK,Nafta 1.4/1.6,Mecanica,12000,19000,18,6,,si,Bujias NGK juego x4.
EL-003,Bocina 12V par,Fiann,Universal,Electrico,11000,17000,9,3,,si,Bocinas alta/baja.
PI-003,Lija al agua x10 (varios granos),3M,Universal,Pintura,4000,7000,40,10,,no,Uso taller.
ME-006,Correa poli-V Onix,Gates,Onix 1.4,Mecanica,14000,22000,0,2,,si,Sin stock — consultanos reposicion.
CH-005,Espejo retrovisor Gol der,VW,Gol Trend,Chapa,25000,39000,1,1,,si,Ultima unidad.
AC-003,Fundas cubre asiento universal,Cover,Universal,Accesorios,20000,32000,5,2,,no,Fundas universales.
